"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Parmer County, Texas",0.417,0.024
"Pecos County, Texas",0.47,0.04
"Polk County, Texas",0.443,0.016
"Potter County, Texas",0.461,0.011
"Presidio County, Texas",0.473,0.036
"Rains County, Texas",0.399,0.024
"Randall County, Texas",0.439,0.011
"Reagan County, Texas",0.349,0.035
"Real County, Texas",0.402,0.041
"Red River County, Texas",0.409,0.022
"Reeves County, Texas",0.434,0.027
"Refugio County, Texas",0.421,0.037
"Roberts County, Texas",0.468,0.078
"Robertson County, Texas",0.478,0.023
"Rockwall County, Texas",0.393,0.016
"Runnels County, Texas",0.441,0.036
"Rusk County, Texas",0.462,0.041
"Sabine County, Texas",0.429,0.031
"San Augustine County, Texas",0.503,0.034
"San Jacinto County, Texas",0.44,0.032
"San Patricio County, Texas",0.436,0.016
"San Saba County, Texas",0.471,0.037
"Schleicher County, Texas",0.401,0.038
"Scurry County, Texas",0.501,0.058
"Shackelford County, Texas",0.423,0.037
"Shelby County, Texas",0.491,0.029
"Sherman County, Texas",0.389,0.027
"Smith County, Texas",0.479,0.012
"Somervell County, Texas",0.453,0.049
"Starr County, Texas",0.519,0.025
"Stephens County, Texas",0.451,0.067
"Sterling County, Texas",0.459,0.051
"Stonewall County, Texas",0.413,0.043
"Sutton County, Texas",0.434,0.067
"Swisher County, Texas",0.432,0.026
"Tarrant County, Texas",0.448,0.003
"Taylor County, Texas",0.449,0.015
"Terrell County, Texas",0.385,0.051
"Terry County, Texas",0.547,0.082
"Throckmorton County, Texas",0.428,0.037
"Titus County, Texas",0.418,0.021
"Tom Green County, Texas",0.445,0.012
"Travis County, Texas",0.487,0.005
"Trinity County, Texas",0.432,0.035
"Tyler County, Texas",0.443,0.027
"Upshur County, Texas",0.43,0.021
"Upton County, Texas",0.42,0.041
"Uvalde County, Texas",0.491,0.034
"Val Verde County, Texas",0.435,0.02
"Van Zandt County, Texas",0.428,0.022
"Victoria County, Texas",0.447,0.015
"Walker County, Texas",0.485,0.021
"Waller County, Texas",0.447,0.018
"Ward County, Texas",0.431,0.03
"Washington County, Texas",0.512,0.029
"Webb County, Texas",0.46,0.01
"Wharton County, Texas",0.46,0.024
"Wheeler County, Texas",0.513,0.053
"Wichita County, Texas",0.472,0.016
"Wilbarger County, Texas",0.454,0.049
"Willacy County, Texas",0.545,0.035
"Williamson County, Texas",0.37,0.006
"Wilson County, Texas",0.39,0.022
"Winkler County, Texas",0.431,0.036
"Wise County, Texas",0.395,0.012
"Wood County, Texas",0.428,0.016
"Yoakum County, Texas",0.435,0.029
"Young County, Texas",0.512,0.039
"Zapata County, Texas",0.514,0.034
"Zavala County, Texas",0.482,0.037
"Beaver County, Utah",0.4,0.028
"Box Elder County, Utah",0.352,0.011
"Cache County, Utah",0.423,0.016
"Carbon County, Utah",0.425,0.02
"Daggett County, Utah",0.413,0.04
"Davis County, Utah",0.384,0.009
"Duchesne County, Utah",0.402,0.022
"Emery County, Utah",0.341,0.02
"Garfield County, Utah",0.383,0.036
"Grand County, Utah",0.373,0.029
"Iron County, Utah",0.391,0.019
"Juab County, Utah",0.359,0.024
"Kane County, Utah",0.46,0.106
"Millard County, Utah",0.401,0.018
"Morgan County, Utah",0.341,0.035
"Piute County, Utah",0.394,0.027
"Rich County, Utah",0.419,0.115
"Salt Lake County, Utah",0.419,0.004
"San Juan County, Utah",0.432,0.024
"Sanpete County, Utah",0.402,0.028
"Sevier County, Utah",0.387,0.016
"Summit County, Utah",0.458,0.021
"Tooele County, Utah",0.345,0.014
"Uintah County, Utah",0.399,0.027
"Utah County, Utah",0.412,0.008
"Wasatch County, Utah",0.413,0.026
"Washington County, Utah",0.408,0.013
"Wayne County, Utah",0.366,0.043
"Weber County, Utah",0.394,0.009
"Addison County, Vermont",0.404,0.016
"Bennington County, Vermont",0.457,0.021
"Caledonia County, Vermont",0.439,0.021
"Chittenden County, Vermont",0.437,0.011
"Essex County, Vermont",0.408,0.016
"Franklin County, Vermont",0.386,0.014
"Grand Isle County, Vermont",0.393,0.021
"Lamoille County, Vermont",0.433,0.021
"Orange County, Vermont",0.394,0.01
"Orleans County, Vermont",0.419,0.013
"Rutland County, Vermont",0.424,0.012
"Washington County, Vermont",0.418,0.014
"Windham County, Vermont",0.446,0.015
"Windsor County, Vermont",0.445,0.017
"Accomack County, Virginia",0.471,0.036
"Albemarle County, Virginia",0.48,0.016
"Alleghany County, Virginia",0.395,0.015
"Amelia County, Virginia",0.404,0.025
"Amherst County, Virginia",0.397,0.016
"Appomattox County, Virginia",0.39,0.023
"Arlington County, Virginia",0.429,0.008
"Augusta County, Virginia",0.395,0.014
"Bath County, Virginia",0.326,0.044
"Bedford County, Virginia",0.425,0.015
"Bland County, Virginia",0.39,0.037
"Botetourt County, Virginia",0.395,0.019
"Brunswick County, Virginia",0.406,0.025
"Buchanan County, Virginia",0.454,0.021
"Buckingham County, Virginia",0.418,0.031
"Campbell County, Virginia",0.405,0.016
"Caroline County, Virginia",0.372,0.019
"Carroll County, Virginia",0.393,0.015
"Charles City County, Virginia",0.409,0.029
"Charlotte County, Virginia",0.417,0.026
"Chesterfield County, Virginia",0.387,0.006
"Clarke County, Virginia",0.42,0.029
"Craig County, Virginia",0.327,0.042
"Culpeper County, Virginia",0.389,0.015
"Cumberland County, Virginia",0.426,0.042
"Dickenson County, Virginia",0.432,0.023
"Dinwiddie County, Virginia",0.399,0.025
"Essex County, Virginia",0.398,0.036
"Fairfax County, Virginia",0.414,0.004
"Fauquier County, Virginia",0.43,0.016
"Floyd County, Virginia",0.407,0.021
"Fluvanna County, Virginia",0.393,0.04
"Franklin County, Virginia",0.419,0.016
"Frederick County, Virginia",0.386,0.011
"Giles County, Virginia",0.417,0.021
"Gloucester County, Virginia",0.381,0.022
"Goochland County, Virginia",0.508,0.031
"Grayson County, Virginia",0.451,0.041
"Greene County, Virginia",0.388,0.031
"Greensville County, Virginia",0.406,0.04
"Halifax County, Virginia",0.473,0.025
"Hanover County, Virginia",0.393,0.012
"Henrico County, Virginia",0.438,0.007
"Henry County, Virginia",0.433,0.022
"Highland County, Virginia",0.413,0.043
"Isle of Wight County, Virginia",0.413,0.016
"James City County, Virginia",0.416,0.019
"King and Queen County, Virginia",0.4,0.055
"King George County, Virginia",0.371,0.018
"King William County, Virginia",0.345,0.022
"Lancaster County, Virginia",0.439,0.029
"Lee County, Virginia",0.426,0.015
"Loudoun County, Virginia",0.367,0.008
"Louisa County, Virginia",0.426,0.017
"Lunenburg County, Virginia",0.392,0.02
"Madison County, Virginia",0.383,0.039
"Mathews County, Virginia",0.43,0.036
"Mecklenburg County, Virginia",0.451,0.034
"Middlesex County, Virginia",0.442,0.04
"Montgomery County, Virginia",0.471,0.013
"Nelson County, Virginia",0.44,0.044
"New Kent County, Virginia",0.394,0.045
"Northampton County, Virginia",0.506,0.031
"Northumberland County, Virginia",0.414,0.028
"Nottoway County, Virginia",0.443,0.02
"Orange County, Virginia",0.396,0.016
"Page County, Virginia",0.428,0.03
"Patrick County, Virginia",0.391,0.02
"Pittsylvania County, Virginia",0.417,0.009
"Powhatan County, Virginia",0.399,0.023
"Prince Edward County, Virginia",0.451,0.036
"Prince George County, Virginia",0.367,0.022
"Prince William County, Virginia",0.366,0.007
"Pulaski County, Virginia",0.403,0.016
"Rappahannock County, Virginia",0.48,0.048
"Richmond County, Virginia",0.445,0.053
"Roanoke County, Virginia",0.398,0.011
"Rockbridge County, Virginia",0.426,0.02
"Rockingham County, Virginia",0.436,0.017
"Russell County, Virginia",0.428,0.027
"Scott County, Virginia",0.43,0.03
"Shenandoah County, Virginia",0.401,0.016
"Smyth County, Virginia",0.462,0.025
"Southampton County, Virginia",0.412,0.017
"Spotsylvania County, Virginia",0.378,0.013
"Stafford County, Virginia",0.354,0.008
"Surry County, Virginia",0.368,0.024
"Sussex County, Virginia",0.408,0.028
"Tazewell County, Virginia",0.436,0.014
"Warren County, Virginia",0.426,0.028
"Washington County, Virginia",0.465,0.021
"Westmoreland County, Virginia",0.403,0.024
"Wise County, Virginia",0.437,0.015
"Wythe County, Virginia",0.431,0.028
"York County, Virginia",0.389,0.017
"Alexandria city, Virginia",0.458,0.012
"Bedford city, Virginia",0.459,0.041
"Bristol city, Virginia",0.472,0.041
"Buena Vista city, Virginia",0.398,0.028
"Charlottesville city, Virginia",0.505,0.02
"Chesapeake city, Virginia",0.393,0.007
"Colonial Heights city, Virginia",0.381,0.026
"Covington city, Virginia",0.441,0.061
"Danville city, Virginia",0.469,0.016
"Emporia city, Virginia",0.491,0.041
"Fairfax city, Virginia",0.381,0.021
"Falls Church city, Virginia",0.416,0.031
"Franklin city, Virginia",0.475,0.033
"Fredericksburg city, Virginia",0.519,0.04
"Galax city, Virginia",0.532,0.067
"Hampton city, Virginia",0.393,0.01
"Harrisonburg city, Virginia",0.483,0.028
"Hopewell city, Virginia",0.4,0.02
"Lexington city, Virginia",0.514,0.036
"Lynchburg city, Virginia",0.502,0.017
"Manassas city, Virginia",0.388,0.02
"Manassas Park city, Virginia",0.339,0.022
"Martinsville city, Virginia",0.478,0.03
"Newport News city, Virginia",0.414,0.009
"Norfolk city, Virginia",0.466,0.011
"Norton city, Virginia",0.539,0.122
"Petersburg city, Virginia",0.415,0.015
"Poquoson city, Virginia",0.401,0.033
"Portsmouth city, Virginia",0.404,0.011
"Radford city, Virginia",0.483,0.027
"Richmond city, Virginia",0.533,0.012
"Roanoke city, Virginia",0.459,0.014
"Salem city, Virginia",0.44,0.027
"Staunton city, Virginia",0.44,0.03
"Suffolk city, Virginia",0.415,0.015
"Virginia Beach city, Virginia",0.4,0.008
"Waynesboro city, Virginia",0.462,0.032
"Williamsburg city, Virginia",0.466,0.026
"Winchester city, Virginia",0.462,0.023
"Adams County, Washington",0.411,0.022
"Asotin County, Washington",0.436,0.034
"Benton County, Washington",0.415,0.008
"Chelan County, Washington",0.432,0.017
"Clallam County, Washington",0.416,0.012
"Clark County, Washington",0.416,0.007
"Columbia County, Washington",0.453,0.042
"Cowlitz County, Washington",0.42,0.011
"Douglas County, Washington",0.399,0.016
"Ferry County, Washington",0.45,0.034
"Franklin County, Washington",0.429,0.025
"Garfield County, Washington",0.407,0.038
"Grant County, Washington",0.427,0.014
"Grays Harbor County, Washington",0.429,0.027
"Island County, Washington",0.39,0.011
"Jefferson County, Washington",0.446,0.019
"King County, Washington",0.456,0.003
"Kitsap County, Washington",0.416,0.007
"Kittitas County, Washington",0.477,0.03
"Klickitat County, Washington",0.439,0.019
"Lewis County, Washington",0.405,0.011
"Lincoln County, Washington",0.41,0.024
"Mason County, Washington",0.414,0.014
"Okanogan County, Washington",0.452,0.019
"Pacific County, Washington",0.44,0.022
"Pend Oreille County, Washington",0.474,0.039
"Pierce County, Washington",0.413,0.005
"San Juan County, Washington",0.476,0.021
"Skagit County, Washington",0.42,0.011
"Skamania County, Washington",0.413,0.033
"Snohomish County, Washington",0.395,0.005
"Spokane County, Washington",0.443,0.006
"Stevens County, Washington",0.422,0.017
"Thurston County, Washington",0.407,0.008
"Wahkiakum County, Washington",0.386,0.041
"Walla Walla County, Washington",0.442,0.018
"Whatcom County, Washington",0.438,0.008
"Whitman County, Washington",0.498,0.016
"Yakima County, Washington",0.437,0.01
"Barbour County, West Virginia",0.452,0.044
"Berkeley County, West Virginia",0.409,0.016
"Boone County, West Virginia",0.44,0.018
"Braxton County, West Virginia",0.432,0.02
"Brooke County, West Virginia",0.426,0.037
"Cabell County, West Virginia",0.481,0.012
"Calhoun County, West Virginia",0.481,0.068
"Clay County, West Virginia",0.46,0.038
"Doddridge County, West Virginia",0.419,0.039
"Fayette County, West Virginia",0.431,0.017
"Gilmer County, West Virginia",0.477,0.058
"Grant County, West Virginia",0.395,0.018
"Greenbrier County, West Virginia",0.45,0.023
"Hampshire County, West Virginia",0.418,0.016
"Hancock County, West Virginia",0.459,0.033
"Hardy County, West Virginia",0.417,0.023
"Harrison County, West Virginia",0.444,0.011
"Jackson County, West Virginia",0.424,0.022
"Jefferson County, West Virginia",0.404,0.018
"Kanawha County, West Virginia",0.46,0.01
"Lewis County, West Virginia",0.459,0.022
"Lincoln County, West Virginia",0.443,0.025
"Logan County, West Virginia",0.444,0.022
"McDowell County, West Virginia",0.452,0.024
"Marion County, West Virginia",0.437,0.013
"Marshall County, West Virginia",0.473,0.065
"Mason County, West Virginia",0.444,0.026
"Mercer County, West Virginia",0.462,0.013
"Mineral County, West Virginia",0.442,0.024
"Mingo County, West Virginia",0.436,0.018
"Monongalia County, West Virginia",0.517,0.015
"Monroe County, West Virginia",0.39,0.025
"Morgan County, West Virginia",0.418,0.022
"Nicholas County, West Virginia",0.445,0.028
"Ohio County, West Virginia",0.473,0.019
"Pendleton County, West Virginia",0.414,0.021
"Pleasants County, West Virginia",0.387,0.024
"Pocahontas County, West Virginia",0.424,0.052
"Preston County, West Virginia",0.404,0.019
"Putnam County, West Virginia",0.413,0.014
"Raleigh County, West Virginia",0.446,0.014
"Randolph County, West Virginia",0.451,0.028
"Ritchie County, West Virginia",0.453,0.044
"Roane County, West Virginia",0.424,0.022
"Summers County, West Virginia",0.424,0.022
"Taylor County, West Virginia",0.416,0.02
"Tucker County, West Virginia",0.466,0.068
"Tyler County, West Virginia",0.414,0.029
"Upshur County, West Virginia",0.447,0.022
"Wayne County, West Virginia",0.439,0.018
"Webster County, West Virginia",0.44,0.029
"Wetzel County, West Virginia",0.439,0.027
"Wirt County, West Virginia",0.38,0.034
"Wood County, West Virginia",0.449,0.014
"Wyoming County, West Virginia",0.416,0.017
"Adams County, Wisconsin",0.404,0.017
"Ashland County, Wisconsin",0.416,0.019
"Barron County, Wisconsin",0.425,0.015
"Bayfield County, Wisconsin",0.406,0.011
"Brown County, Wisconsin",0.429,0.009
"Buffalo County, Wisconsin",0.385,0.012
"Burnett County, Wisconsin",0.435,0.017
"Calumet County, Wisconsin",0.367,0.015
"Chippewa County, Wisconsin",0.406,0.014
"Clark County, Wisconsin",0.411,0.01
"Columbia County, Wisconsin",0.39,0.012
"Crawford County, Wisconsin",0.424,0.019
"Dane County, Wisconsin",0.439,0.007
"Dodge County, Wisconsin",0.37,0.009
"Door County, Wisconsin",0.411,0.016
"Douglas County, Wisconsin",0.425,0.016
"Dunn County, Wisconsin",0.385,0.011
"Eau Claire County, Wisconsin",0.449,0.013
"Florence County, Wisconsin",0.386,0.025
"Fond du Lac County, Wisconsin",0.407,0.012
"Forest County, Wisconsin",0.435,0.022
"Grant County, Wisconsin",0.4,0.009
"Green County, Wisconsin",0.408,0.02
"Green Lake County, Wisconsin",0.41,0.016
"Iowa County, Wisconsin",0.375,0.012
"Iron County, Wisconsin",0.408,0.018
"Jackson County, Wisconsin",0.419,0.015
"Jefferson County, Wisconsin",0.388,0.011
"Juneau County, Wisconsin",0.406,0.024
"Kenosha County, Wisconsin",0.425,0.012
"Kewaunee County, Wisconsin",0.381,0.012
"La Crosse County, Wisconsin",0.425,0.009
"Lafayette County, Wisconsin",0.378,0.011
"Langlade County, Wisconsin",0.408,0.016
"Lincoln County, Wisconsin",0.387,0.013
"Manitowoc County, Wisconsin",0.398,0.015
"Marathon County, Wisconsin",0.399,0.008
"Marinette County, Wisconsin",0.43,0.019
"Marquette County, Wisconsin",0.389,0.016
"Menominee County, Wisconsin",0.442,0.032
"Milwaukee County, Wisconsin",0.451,0.004
"Monroe County, Wisconsin",0.404,0.017
"Oconto County, Wisconsin",0.409,0.016
"Oneida County, Wisconsin",0.437,0.018
"Outagamie County, Wisconsin",0.402,0.009
"Ozaukee County, Wisconsin",0.45,0.013
"Pepin County, Wisconsin",0.412,0.022
"Pierce County, Wisconsin",0.395,0.013
"Polk County, Wisconsin",0.395,0.009
"Portage County, Wisconsin",0.418,0.012
"Price County, Wisconsin",0.409,0.017
"Racine County, Wisconsin",0.423,0.009
"Richland County, Wisconsin",0.384,0.014
"Rock County, Wisconsin",0.404,0.008
"Rusk County, Wisconsin",0.409,0.013
"St. Croix County, Wisconsin",0.392,0.014
"Sauk County, Wisconsin",0.397,0.011
"Sawyer County, Wisconsin",0.463,0.017
"Shawano County, Wisconsin",0.407,0.013
"Sheboygan County, Wisconsin",0.388,0.007
"Taylor County, Wisconsin",0.41,0.017
"Trempealeau County, Wisconsin",0.408,0.018
"Vernon County, Wisconsin",0.411,0.017
"Vilas County, Wisconsin",0.443,0.016
"Walworth County, Wisconsin",0.431,0.012
"Washburn County, Wisconsin",0.408,0.017
"Washington County, Wisconsin",0.385,0.009
"Waukesha County, Wisconsin",0.417,0.007
"Waupaca County, Wisconsin",0.393,0.01
"Waushara County, Wisconsin",0.389,0.012
"Winnebago County, Wisconsin",0.429,0.013
"Wood County, Wisconsin",0.405,0.009
"Albany County, Wyoming",0.494,0.027
"Big Horn County, Wyoming",0.426,0.038
"Campbell County, Wyoming",0.351,0.019
"Carbon County, Wyoming",0.365,0.018
"Converse County, Wyoming",0.403,0.025
"Crook County, Wyoming",0.349,0.024
"Fremont County, Wyoming",0.432,0.026
"Goshen County, Wyoming",0.417,0.025
"Hot Springs County, Wyoming",0.402,0.025
"Johnson County, Wyoming",0.44,0.035
"Laramie County, Wyoming",0.415,0.021
"Lincoln County, Wyoming",0.354,0.014
"Natrona County, Wyoming",0.447,0.02
"Niobrara County, Wyoming",0.412,0.033
"Park County, Wyoming",0.435,0.025
"Platte County, Wyoming",0.406,0.027
"Sheridan County, Wyoming",0.417,0.018
"Sublette County, Wyoming",0.372,0.032
"Sweetwater County, Wyoming",0.379,0.019
"Teton County, Wyoming",0.485,0.055
"Uinta County, Wyoming",0.4,0.028
"Washakie County, Wyoming",0.455,0.07
"Weston County, Wyoming",0.391,0.039
"Adjuntas Municipio, Puerto Rico",0.525,0.024
"Aguada Municipio, Puerto Rico",0.532,0.038
"Aguadilla Municipio, Puerto Rico",0.558,0.015
"Aguas Buenas Municipio, Puerto Rico",0.539,0.022
"Aibonito Municipio, Puerto Rico",0.531,0.036
"Añasco Municipio, Puerto Rico",0.484,0.021
"Arecibo Municipio, Puerto Rico",0.525,0.017
"Arroyo Municipio, Puerto Rico",0.526,0.033
"Barceloneta Municipio, Puerto Rico",0.523,0.042
"Barranquitas Municipio, Puerto Rico",0.495,0.022
"Bayamón Municipio, Puerto Rico",0.47,0.006
"Cabo Rojo Municipio, Puerto Rico",0.545,0.04
"Caguas Municipio, Puerto Rico",0.512,0.015
"Camuy Municipio, Puerto Rico",0.495,0.021
"Canóvanas Municipio, Puerto Rico",0.497,0.018
"Carolina Municipio, Puerto Rico",0.475,0.014
"Cataño Municipio, Puerto Rico",0.563,0.022
"Cayey Municipio, Puerto Rico",0.482,0.014
"Ceiba Municipio, Puerto Rico",0.463,0.026
"Ciales Municipio, Puerto Rico",0.497,0.021
"Cidra Municipio, Puerto Rico",0.496,0.019
"Coamo Municipio, Puerto Rico",0.543,0.029
"Comerío Municipio, Puerto Rico",0.538,0.025
"Corozal Municipio, Puerto Rico",0.533,0.022
"Culebra Municipio, Puerto Rico",0.46,0.056
"Dorado Municipio, Puerto Rico",0.549,0.025
"Fajardo Municipio, Puerto Rico",0.475,0.015
"Florida Municipio, Puerto Rico",0.483,0.039
"Guánica Municipio, Puerto Rico",0.518,0.025
"Guayama Municipio, Puerto Rico",0.518,0.018
"Guayanilla Municipio, Puerto Rico",0.507,0.022
"Guaynabo Municipio, Puerto Rico",0.551,0.011
"Gurabo Municipio, Puerto Rico",0.482,0.017
"Hatillo Municipio, Puerto Rico",0.477,0.019
"Hormigueros Municipio, Puerto Rico",0.429,0.023
"Humacao Municipio, Puerto Rico",0.516,0.019
"Isabela Municipio, Puerto Rico",0.525,0.02
"Jayuya Municipio, Puerto Rico",0.502,0.031
"Juana Díaz Municipio, Puerto Rico",0.508,0.027
"Juncos Municipio, Puerto Rico",0.512,0.021
"Lajas Municipio, Puerto Rico",0.468,0.023
"Lares Municipio, Puerto Rico",0.537,0.019
"Las Marías Municipio, Puerto Rico",0.5,0.028
"Las Piedras Municipio, Puerto Rico",0.502,0.022
"Loíza Municipio, Puerto Rico",0.439,0.018
"Luquillo Municipio, Puerto Rico",0.508,0.03
"Manatí Municipio, Puerto Rico",0.52,0.026
"Maricao Municipio, Puerto Rico",0.507,0.037
"Maunabo Municipio, Puerto Rico",0.482,0.034
"Mayagüez Municipio, Puerto Rico",0.597,0.017
"Moca Municipio, Puerto Rico",0.539,0.029
"Morovis Municipio, Puerto Rico",0.522,0.026
"Naguabo Municipio, Puerto Rico",0.498,0.022
"Naranjito Municipio, Puerto Rico",0.482,0.016
"Orocovis Municipio, Puerto Rico",0.478,0.021
"Patillas Municipio, Puerto Rico",0.5,0.026
"Peñuelas Municipio, Puerto Rico",0.491,0.021
"Ponce Municipio, Puerto Rico",0.551,0.013
"Quebradillas Municipio, Puerto Rico",0.512,0.02
"Rincón Municipio, Puerto Rico",0.488,0.03
"Río Grande Municipio, Puerto Rico",0.467,0.018
"Sabana Grande Municipio, Puerto Rico",0.484,0.019
"Salinas Municipio, Puerto Rico",0.515,0.02
"San Germán Municipio, Puerto Rico",0.512,0.018
"San Juan Municipio, Puerto Rico",0.582,0.007
"San Lorenzo Municipio, Puerto Rico",0.48,0.015
"San Sebastián Municipio, Puerto Rico",0.507,0.015
"Santa Isabel Municipio, Puerto Rico",0.527,0.027
"Toa Alta Municipio, Puerto Rico",0.493,0.018
"Toa Baja Municipio, Puerto Rico",0.463,0.012
"Trujillo Alto Municipio, Puerto Rico",0.493,0.02
"Utuado Municipio, Puerto Rico",0.519,0.019
"Vega Alta Municipio, Puerto Rico",0.558,0.038
"Vega Baja Municipio, Puerto Rico",0.574,0.024
"Vieques Municipio, Puerto Rico",0.461,0.034
"Villalba Municipio, Puerto Rico",0.492,0.025
"Yabucoa Municipio, Puerto Rico",0.458,0.015
"Yauco Municipio, Puerto Rico",0.52,0.016
,,
"*The Gini Coefficient measures the dispersion of income within a particular area. The closer a Gini coefficient is to 0, the more equitably distributed income is across a County's population. Gini coefficients closer to 1 signify greater income inequality.                                        Source: US Census Bureau, American Community Survey, 5 Year Estimates, 2006-2010, Table B19083",,
