"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Candler County, Georgia",0.42,0.036
"Carroll County, Georgia",0.429,0.012
"Catoosa County, Georgia",0.412,0.015
"Charlton County, Georgia",0.432,0.04
"Chatham County, Georgia",0.476,0.009
"Chattahoochee County, Georgia",0.37,0.045
"Chattooga County, Georgia",0.4,0.022
"Cherokee County, Georgia",0.41,0.011
"Clarke County, Georgia",0.531,0.013
"Clay County, Georgia",0.422,0.035
"Clayton County, Georgia",0.393,0.008
"Clinch County, Georgia",0.43,0.044
"Cobb County, Georgia",0.441,0.006
"Coffee County, Georgia",0.449,0.02
"Colquitt County, Georgia",0.458,0.02
"Columbia County, Georgia",0.411,0.014
"Cook County, Georgia",0.442,0.024
"Coweta County, Georgia",0.388,0.009
"Crawford County, Georgia",0.46,0.04
"Crisp County, Georgia",0.471,0.024
"Dade County, Georgia",0.427,0.028
"Dawson County, Georgia",0.421,0.023
"Decatur County, Georgia",0.48,0.024
"DeKalb County, Georgia",0.472,0.006
"Dodge County, Georgia",0.464,0.037
"Dooly County, Georgia",0.48,0.032
"Dougherty County, Georgia",0.501,0.013
"Douglas County, Georgia",0.394,0.012
"Early County, Georgia",0.478,0.029
"Echols County, Georgia",0.383,0.048
"Effingham County, Georgia",0.388,0.02
"Elbert County, Georgia",0.442,0.033
"Emanuel County, Georgia",0.464,0.022
"Evans County, Georgia",0.423,0.03
"Fannin County, Georgia",0.439,0.019
"Fayette County, Georgia",0.395,0.012
"Floyd County, Georgia",0.458,0.014
"Forsyth County, Georgia",0.395,0.009
"Franklin County, Georgia",0.458,0.031
"Fulton County, Georgia",0.529,0.005
"Gilmer County, Georgia",0.45,0.026
"Glascock County, Georgia",0.412,0.036
"Glynn County, Georgia",0.472,0.016
"Gordon County, Georgia",0.412,0.015
"Grady County, Georgia",0.484,0.049
"Greene County, Georgia",0.564,0.069
"Gwinnett County, Georgia",0.408,0.005
"Habersham County, Georgia",0.44,0.023
"Hall County, Georgia",0.444,0.011
"Hancock County, Georgia",0.424,0.039
"Haralson County, Georgia",0.441,0.021
"Harris County, Georgia",0.455,0.032
"Hart County, Georgia",0.469,0.02
"Heard County, Georgia",0.399,0.027
"Henry County, Georgia",0.369,0.009
"Houston County, Georgia",0.407,0.011
"Irwin County, Georgia",0.436,0.038
"Jackson County, Georgia",0.41,0.013
"Jasper County, Georgia",0.451,0.03
"Jeff Davis County, Georgia",0.406,0.028
"Jefferson County, Georgia",0.446,0.018
"Jenkins County, Georgia",0.505,0.059
"Johnson County, Georgia",0.523,0.052
"Jones County, Georgia",0.406,0.023
"Lamar County, Georgia",0.425,0.025
"Lanier County, Georgia",0.448,0.046
"Laurens County, Georgia",0.468,0.015
"Lee County, Georgia",0.392,0.02
"Liberty County, Georgia",0.397,0.015
"Lincoln County, Georgia",0.443,0.029
"Long County, Georgia",0.366,0.033
"Lowndes County, Georgia",0.459,0.014
"Lumpkin County, Georgia",0.423,0.02
"McDuffie County, Georgia",0.447,0.023
"McIntosh County, Georgia",0.446,0.048
"Macon County, Georgia",0.46,0.029
"Madison County, Georgia",0.419,0.024
