Date,Data,Expected,Detection
29Apr14,5,2.923,0.193
28Apr14,0,2.846,0.5
27Apr14,2,2.808,0.617
26Apr14,5,2.923,0.179
25Apr14,1,2.923,0.852
24Apr14,1,2.786,0.81
23Apr14,3,2.857,0.535
22Apr14,0,2.821,0.5
21Apr14,0,2.821,0.5
20Apr14,4,2.75,0.27
19Apr14,2,2.821,0.507
18Apr14,4,2.893,0.289
17Apr14,3,2.929,0.502
16Apr14,2,2.893,0.524
15Apr14,4,2.714,0.234
14Apr14,2,2.679,0.377
13Apr14,7,2.679,0.019
12Apr14,1,2.714,0.841
11Apr14,1,2.679,0.833
10Apr14,1,2.786,0.787
09Apr14,3,2.857,0.506
08Apr14,1,2.75,0.579
07Apr14,4,2.786,0.198
06Apr14,5,2.893,0.149
05Apr14,2,3.036,0.734
04Apr14,1,3.036,0.75
03Apr14,2,3.107,0.43
02Apr14,6,3.071,0.083
01Apr14,2,2.929,0.517
31Mar14,3,2.929,0.281
30Mar14,6,3.036,0.057
29Mar14,3,3,0.564
28Mar14,0,3.179,0.5
27Mar14,4,3.286,0.374
26Mar14,3,3.321,0.589
25Mar14,2,3.286,0.751
24Mar14,2,3.357,0.751
23Mar14,3,3.5,0.623
22Mar14,2,3.5,0.773
21Mar14,2,3.643,0.656
20Mar14,5,3.607,0.265
19Mar14,4,3.714,0.431
18Mar14,5,3.643,0.323
17Mar14,1,4,0.896
16Mar14,2,4.107,0.848
15Mar14,0,4.25,0.5
14Mar14,1,4.357,0.93
13Mar14,2,4.357,0.858
12Mar14,2,4.429,0.815
11Mar14,4,4.429,0.547
10Mar14,6,4.679,0.352
09Mar14,2,4.714,0.854
08Mar14,3,4.714,0.714
07Mar14,4,4.964,0.595
06Mar14,6,5.071,0.377
05Mar14,6,5.357,0.443
04Mar14,4,5.464,0.717
03Mar14,2,5.643,0.893
02Mar14,2,5.964,0.894
01Mar14,3,6.143,0.848
28Feb14,3,6.071,0.841
27Feb14,3,6.5,0.799
26Feb14,8,6.75,0.398
25Feb14,5,6.929,0.73
24Feb14,3,7,0.88
23Feb14,2,7.25,0.916
22Feb14,4,7.536,0.815
21Feb14,6,7.643,0.676
20Feb14,5,7.821,0.755
19Feb14,8,7.857,0.528
18Feb14,4,8.357,0.89
17Feb14,4,8.286,0.901
16Feb14,0,8.643,0.5
15Feb14,10,8.857,0.438
14Feb14,4,9.179,0.912
13Feb14,6,9.464,0.842
12Feb14,5,9.607,0.903
11Feb14,4,10.107,0.95
10Feb14,8,10.393,0.783
09Feb14,2,10.714,0.983
08Feb14,10,10.893,0.652
07Feb14,5,10.786,0.942
06Feb14,6,10.786,0.879
05Feb14,13,10.75,0.317
04Feb14,7,11,0.866
03Feb14,10,11.036,0.675
02Feb14,5,10.929,0.949
01Feb14,8,11.107,0.796
31Jan14,12,11.143,0.445
30Jan14,8,10.929,0.836
29Jan14,6,10.821,0.728
28Jan14,17,10.857,0.045
27Jan14,10,10.893,0.652
26Jan14,7,10.679,0.881
25Jan14,6,10.393,0.683
24Jan14,13,10.25,0.187
23Jan14,13,10.214,0.221
22Jan14,11,10.25,0.437
21Jan14,9,10.25,0.684
20Jan14,5,10.5,0.732
19Jan14,14,10.286,0.146
18Jan14,8,10.143,0.309
17Jan14,14,9.75,0.045
16Jan14,12,9.643,0.071
15Jan14,14,9.464,0.043
14Jan14,12,9.071,0.055
13Jan14,12,8.5,0.021
12Jan14,16,8.214,0.001
11Jan14,18,7.964,0
10Jan14,14,7.75,0.016
09Jan14,11,7.75,0.103
08Jan14,10,7.607,0.175
07Jan14,7,7.321,0.208
06Jan14,9,7.357,0.076
05Jan14,12,7.179,0.035
04Jan14,9,6.893,0.069
03Jan14,9,6.821,0.049
02Jan14,13,6.821,0.03
01Jan14,7,6.714,0.217
31Dec13,11,6.679,0.098
30Dec13,7,6.786,0.406
29Dec13,8,6.964,0.385
28Dec13,7,6.964,0.498
27Dec13,7,7.071,0.531
26Dec13,5,6.929,0.57
25Dec13,7,6.964,0.348
24Dec13,8,6.643,0.189
23Dec13,6,6.321,0.095
22Dec13,14,6.214,0.001
21Dec13,15,6.107,0.002
20Dec13,8,6.071,0.236
19Dec13,8,5.893,0.259
18Dec13,3,5.857,0.649
17Dec13,9,5.75,0.13
16Dec13,7,5.857,0.36
15Dec13,5,5.857,0.669
14Dec13,2,5.786,0.892
13Dec13,6,5.786,0.497
12Dec13,4,5.643,0.723
11Dec13,4,5.714,0.617
10Dec13,7,5.714,0.344
09Dec13,5,5.5,0.491
08Dec13,4,5.429,0.377
07Dec13,10,5.464,0.071
06Dec13,4,5.429,0.551
05Dec13,5,5.286,0.284
04Dec13,5,5.143,0.134
03Dec13,11,5.071,0.026
02Dec13,4,4.714,0.201
01Dec13,7,4.357,0.014
30Nov13,10,4.214,0.003
29Nov13,12,3.964,0
28Nov13,5,4,0.049
27Nov13,10,3.786,0.003
26Nov13,4,3.75,0.119
25Nov13,7,3.75,0.037
24Nov13,5,3.607,0.11
23Nov13,6,3.464,0.09
22Nov13,5,3.464,0.207
21Nov13,5,3.464,0.277
20Nov13,2,3.286,0.462
19Nov13,4,3.321,0.193
18Nov13,6,3.179,0.123
17Nov13,2,3.036,0.317
16Nov13,5,3.036,0.083
15Nov13,6,2.964,0.101
14Nov13,2,2.964,0.385
13Nov13,4,2.786,0.099
12Nov13,3,2.786,0.084
11Nov13,7,2.714,0.014
10Nov13,4,2.75,0.151
09Nov13,4,2.643,0.137
08Nov13,2,2.643,0.18
07Nov13,6,2.429,0.007
06Nov13,4,2.536,0.059
05Nov13,7,2.429,0.006
04Nov13,0,2.571,0.5
03Nov13,5,2.643,0.099
02Nov13,0,2.75,0.5
01Nov13,2,2.75,0.72
31Oct13,1,2.643,0.634
30Oct13,3,2.643,0.183
29Oct13,5,2.571,0.065
28Oct13,1,2.536,0.493
27Oct13,4,2.679,0.104
26Oct13,6,2.679,0.018
25Oct13,1,2.643,0.887
24Oct13,1,2.679,0.867
23Oct13,2,2.75,0.667
22Oct13,4,2.714,0.229
21Oct13,1,2.75,0.881
20Oct13,3,2.75,0.482
19Oct13,1,2.857,0.897
18Oct13,2,2.893,0.744
17Oct13,2,2.821,0.718
16Oct13,2,2.857,0.685
15Oct13,3,2.821,0.472
14Oct13,2,2.821,0.569
13Oct13,4,2.786,0.231
12Oct13,2,2.75,0.587
11Oct13,3,2.786,0.406
10Oct13,3,2.929,0.461
09Oct13,4,2.893,0.286
08Oct13,1,2.857,0.787
07Oct13,3,2.786,0.395
06Oct13,2,2.714,0.359
05Oct13,4,2.607,0.098
04Oct13,4,2.571,0.14
03Oct13,4,2.571,0.19
02Oct13,3,2.643,0.432
01Oct13,2,2.714,0.706
30Sep13,1,2.571,0.644
29Sep13,2,2.464,0.185
28Sep13,5,2.429,0.033
27Sep13,5,2.5,0.069
26Sep13,1,2.321,0.703
25Sep13,1,2.25,0.356
24Sep13,5,2.214,0.038
23Sep13,3,2.214,0.314
22Sep13,2,2.179,0.431
21Sep13,2,2,0.244
20Sep13,2,1.964,0.114
19Sep13,5,2,0.023
18Sep13,3,1.929,0.252
17Sep13,1,1.964,0.463
16Sep13,3,1.964,0.16
15Sep13,3,1.929,0.213
14Sep13,2,1.893,0.328
13Sep13,2,1.75,0.18
12Sep13,2,1.643,0.051
11Sep13,5,1.607,0.001
10Sep13,5,1.607,0.005
09Sep13,2,1.607,0.393
08Sep13,1,1.571,0.519
07Sep13,2,1.571,0.294
06Sep13,2,1.607,0.356
05Sep13,1,1.536,0.382
04Sep13,2,1.5,0.13
03Sep13,2,1.357,0.047
02Sep13,3,1.357,0.02
01Sep13,4,1.321,0.017
31Aug13,1,1.393,0.613
30Aug13,2,1.393,0.34
29Aug13,0,1.5,0.5
28Aug13,3,1.464,0.129
27Aug13,0,1.464,0.5
26Aug13,1,1.429,0.65
25Aug13,1,1.429,0.601
